
  
   Local          | Remote         | Time (UTC)          
  ----------------|----------------|---------------------
   20260203234719 |                | 2026-02-03 23:47:19 
   20260204064344 |                | 2026-02-04 06:43:44 
   20260204140000 |                | 2026-02-04 14:00:00 
   20260204143000 |                | 2026-02-04 14:30:00 
                  | 20260212143015 | 2026-02-12 14:30:15 
   20260214224500 |                | 2026-02-14 22:45:00 
   20260214234500 |                | 2026-02-14 23:45:00 
   20260215210000 |                | 2026-02-15 21:00:00 
   20260215230000 |                | 2026-02-15 23:00:00 
   20260216083500 |                | 2026-02-16 08:35:00 
   20260217000000 |                | 2026-02-17 00:00:00 
   20260217200000 |                | 2026-02-17 20:00:00 
   20260218120000 |                | 2026-02-18 12:00:00 
   20260218183000 |                | 2026-02-18 18:30:00 
   20260219140000 |                | 2026-02-19 14:00:00 
   20260219190000 |                | 2026-02-19 19:00:00 
   20260221000000 |                | 2026-02-21 00:00:00 

